场景,,来源,场景特征,场景自特征 或 具体情况,回复案例,是否需要展示医生近期门诊排班,,,,,,,,,,,,,,,
血压场景,单次血压数据点评,【医生分身】血压点评规则说明 ,满足（血压达标、低压偏低、高压偏低、轻度偏高、中度偏高、重度偏高-无行为、重度偏高-有行为）,相比患者7 天内的（如有）上一次血压SBP升高/降低40mmHg及以上或DBP升高/降低20mmHg且患者在记录症状或医助随访过程中勾选了【头昏头晕】【胸闷】【胸痛】【呼吸急促】【恶心腹胀】【视力模糊】【呕吐】【烦躁不安】之一,"我发现您最近一次的血压和上次的血压相比波动较大，建议您在接下来的3天里，定时测量血压，并观察每次血压和上一次的对比，如果波动仍然较大，或【{症状}】的症状仍未缓解，建议您尽快回院复查和就诊。
",,,,,,,,,,,,,,,,
血压场景,单次血压数据点评,【医生分身】血压点评规则说明 ,满足（血压达标、低压偏低、高压偏低、轻度偏高、中度偏高、重度偏高-无行为、重度偏高-有行为）,新随访“高脂血症”分组有下列记录其中之一：每日任务-症状录入：患者选择使用了他汀 且记录症状中，勾选了【肌肉酸痛】【肌肉不适】【肌肉无力】之一,"我发现您记录了【{症状}】的不适症状，如您近期已经在服用他汀类药物，建议您重视起来，尽快回院复查和就诊。
",,,,,,,,,,,,,,,,
血压场景,单次血压数据点评,【医生分身】血压点评规则说明 ,满足（血压达标、低压偏低、高压偏低、轻度偏高、中度偏高、重度偏高-无行为、重度偏高-有行为）,新随访“冠心病”分组记录症状中勾选了【胸闷】【胸痛】【憋喘】之一,我发现您记录了【{症状}】的不适症状，冠心病伴随这些症状需要特别重视，建议您尽快回院复查和就诊。,,,,,,,,,,,,,,,,
血压场景,单次血压数据点评,【医生分身】血压点评规则说明 ,"脉搏较慢
","≤40
","您本次测量的心率较低，建议您及时就诊，咨询医生是否需要处理。
",,,,,,,,,,,,,,,,
血压场景,单次血压数据点评,【医生分身】血压点评规则说明 ,脉搏偏慢,40<BPM≤50,您本次测量的心率偏低。请持续多测几次。如果测量结果均低于（或等于）50次/分钟，且出现胸闷、憋气、头晕、眼前发黑等不适症状，建议您及时就诊处理。,,,,,,,,,,,,,,,,
血压场景,单次血压数据点评,【医生分身】血压点评规则说明 ,脉搏偏慢,"50<BPM≤60
",您本次测量的心率范围在50-60次/分钟之间，如果医生为您制定的静息目标心率是在这个范围内，且您没有出现任何胸闷、憋气、头晕、眼前发黑等不适症状，可继续保持该心率水平。记得坚持监测心率。,,,,,,,,,,,,,,,,
血压场景,单次血压数据点评,【医生分身】血压点评规则说明 ,脉搏正常,"60<BPM≤75
",（不评价）,,,,,,,,,,,,,,,,
血压场景,单次血压数据点评,【医生分身】血压点评规则说明 ,脉搏偏快,75<BPM≤100,您本次测量的心率高于75次/分钟，请持续多测几次。建议咨询医生，了解自身心率控制范围。持续监测心率，如持续高于目标心率，建议就诊。,,,,,,,,,,,,,,,,
血压场景,单次血压数据点评,【医生分身】血压点评规则说明 ,脉搏偏快,"100<BPM≤120
",您本次测量的心率超出正常范围。如果您刚刚进行了剧烈的活动或是情绪波动。请您休息片刻，心情平静后再次进行测量。如果本次测量是您平静状态时的心率，请注意是否存在心慌、胸闷等不适症状。请持续监测，若心率持续高于100次/分钟，建议您尽快去医院就诊。,,,,,,,,,,,,,,,,
血压场景,单次血压数据点评,【医生分身】血压点评规则说明 ,脉搏较快,"120<BPM≤150
",您本次测量的心率超出正常范围，如果您刚刚进行了剧烈的活动或是有情绪波动。请您休息片刻，心情平静时再次测量。如果本次测量是您平静状态时心率，建议您及时就诊。,,,,,,,,,,,,,,,,
血压场景,单次血压数据点评,【医生分身】血压点评规则说明 ,脉搏较快,">150
","您本次测量的心率超过150次/分钟，如果该测量结果是您静息状态下心率，建议您及时去医院就诊。
",,,,,,,,,,,,,,,,
血压场景,血压趋势点评,【医生分身】血压点评规则说明 ,血压记录>=4天,下降趋势，当Ds与Dd均<-2时，有任何不达标数据,"做得很棒！我看了你的报告，你近7天血压呈现下降趋势，但还是有[!不达标天数]天不达标，千万不要掉以轻心。
一定要继续按照我给你的建议去做，好好吃药，坚持早晚测量血压，保持良好的降压生活习惯，按时带上复诊报告来复诊。",,,,,,,,,,,,,,,,
血压场景,血压趋势点评,【医生分身】血压点评规则说明 ,血压记录>=4天,下降趋势，当Ds与Dd均<-2时，全部达标,"做得超棒！我阅读了你的报告，你近7天血压不仅全部达标，而且有下降的趋势，控压效果不错！
坚持按照我给你的建议去做，好好吃药，早晚测量血压，才能捕捉到血压的变化！",,,,,,,,,,,,,,,,
血压场景,血压趋势点评,【医生分身】血压点评规则说明 ,血压记录>=4天,上升趋势，当Ds与Dd均>2时，有任何不达标数据,"注意！我仔细审阅了你的报告，你近7天血压有上升的趋势，而且有[!不达标天数]天不达标；
我会重点关注你接下来的血压数据情况，一定要继续按照我给你的建议去做，好好吃药，坚持早晚测量血压，保持良好的降压生活习惯；
如果血压不见好转，请带上复诊报告找我复诊。",,,,,,,,,,,,,,,,
血压场景,血压趋势点评,【医生分身】血压点评规则说明 ,血压记录>=4天,上升趋势，当Ds与Dd均>2时，全部达标,"不错！我阅读了你的报告，血压虽然全部达标了，但血压有上升趋势，需要重点关注会不会超标；
一定要继续按照我给你的建议去做，好好吃药，坚持早晚测量血压，保持良好的降压生活习惯，按时带上复诊报告来复诊。",,,,,,,,,,,,,,,,
血压场景,血压趋势点评,【医生分身】血压点评规则说明 ,血压记录>=4天,趋势为无变化，全部达标,"挺好的，我看了你的报告，你近7天不仅全部达标，而且比较平稳，你快成为一枚合格的控压达人啦！
坚持按照我给你的建议去做，好好吃药，早晚测量血压，保持良好的降压生活习惯。",,,,,,,,,,,,,,,,
血压场景,血压趋势点评,【医生分身】血压点评规则说明 ,血压记录>=4天,趋势为无变化，近7天达标率71%~99%,还不错！我阅读了你的报告，你的血压达标率是[!达标率]，得向100%努力；一定要继续按照我给你的建议去做，好好吃药，坚持早晚测量血压，保持良好的降压生活习惯，期待你下周有更高的达标率。,,,,,,,,,,,,,,,,
血压场景,血压趋势点评,【医生分身】血压点评规则说明 ,血压记录>=4天,趋势为无变化，近7天达标率50%~70%,还有进步的空间，我仔细审阅了你的报告，有[!不达标天数]天不达标，要提升达标率；一定要继续按照我给你的建议去做，好好吃药，坚持早晚测量血压，保持良好的降压生活习惯，请在1个月内带上复诊报告来复诊。,,,,,,,,,,,,,,,,
血压场景,血压趋势点评,【医生分身】血压点评规则说明 ,血压记录>=4天,趋势为无变化，近7天达标率<50%,"请注意：我仔细审阅了你的报告，你近7天达标率只有[!达标率]，需要好好控压，尽快提升达标率！
我会重点关注你接下来的血压数据情况，一定要继续按照我给你的建议去做，好好吃药，坚持早晚测量血压，保持良好的降压生活习惯，请在1个月内带上复诊报告来复诊。",,,,,,,,,,,,,,,,
血压场景,血压趋势点评,【医生分身】血压点评规则说明 ,"达标状况+区间内波动状况+昼夜波动分析
结论为——晨间高（当晨间平均收缩压高于全日平均收缩压 10%时，且晨间测量3次。整体测量>6次）",时段收缩压、舒张压有不达标,您早上的血压高于其他时段，可能有“血压晨峰”现象；同时，您早间时段血压有不达标的情况，请注意缓慢起床，避免晨间运动，防止头晕摔倒。,,,,,,,,,,,,,,,,
血压场景,血压趋势点评,【医生分身】血压点评规则说明 ,"达标状况+区间内波动状况+昼夜波动分析
结论为——晨间高（当晨间平均收缩压高于全日平均收缩压 10%时，且晨间测量3次。整体测量>6次）",时段收缩压、舒张压“全部”达标,赞！您当前时段的血压均达标！但您早上的血压高于其他时段，可能有“血压晨峰”现象，请避免晨起时段剧烈运动。,,,,,,,,,,,,,,,,
血压场景,血压趋势点评,【医生分身】血压点评规则说明 ,"达标状况+区间内波动状况+昼夜波动分析
结论为——夜间高（当夜间平均收缩压高于全日平均收缩压10%时，且夜间测量>3次，整体测量>6次）",时段收缩压、舒张压有不达标,您夜间时段血压高于其他时段，且夜间时段血压有不达标的情况，请注意早点休息不要熬夜，建议遵医嘱，规律用药，保持降压生活方式。,,,,,,,,,,,,,,,,
血压场景,血压趋势点评,【医生分身】血压点评规则说明 ,"达标状况+区间内波动状况+昼夜波动分析
结论为——夜间高（当夜间平均收缩压高于全日平均收缩压10%时，且夜间测量>3次，整体测量>6次）",时段收缩压、舒张压“全部”达标,赞！您当前时段的血压均达标！但您夜间时段血压高于其他时段，请注意早点休息不要熬夜。,,,,,,,,,,,,,,,,
血压场景,血压趋势点评,【医生分身】血压点评规则说明 ,"达标状况+区间内波动状况+昼夜波动分析
结论为——无突出模式（晨间，夜间测量各大于三次，且不满足上面的晨间高、夜间高条件）",有时段有不达标的血压,您早间、晚间的血压趋势无明显变化，请关注[!不达标次数最多的时段，如出现相同的情况，显“多个时段”]有不达标记录；,,,,,,,,,,,,,,,,
